timestamp_utc,ip,cpu_percent
2026-04-14T10:23:56+00:00,192.168.56.21,
2026-04-14T10:24:26+00:00,192.168.56.20,
2026-04-14T10:24:26+00:00,192.168.56.21,
2026-04-14T10:24:56+00:00,192.168.56.20,
2026-04-14T10:24:56+00:00,192.168.56.21,
2026-04-14T10:25:27+00:00,192.168.56.20,
2026-04-14T10:25:27+00:00,192.168.56.21,
2026-04-14T10:25:57+00:00,192.168.56.20,
2026-04-14T10:25:57+00:00,192.168.56.21,
2026-04-14T10:26:27+00:00,192.168.56.20,
2026-04-14T10:26:27+00:00,192.168.56.21,
2026-04-14T10:26:57+00:00,192.168.56.20,
2026-04-14T10:26:57+00:00,192.168.56.21,
2026-04-14T10:27:27+00:00,192.168.56.20,
2026-04-14T10:27:27+00:00,192.168.56.21,
2026-04-14T10:27:57+00:00,192.168.56.20,
2026-04-14T10:27:57+00:00,192.168.56.21,
2026-04-14T10:28:27+00:00,192.168.56.20,
2026-04-14T10:28:27+00:00,192.168.56.21,
2026-04-14T10:28:57+00:00,192.168.56.20,
2026-04-14T10:28:57+00:00,192.168.56.21,
2026-04-14T10:29:27+00:00,192.168.56.20,
2026-04-14T10:29:27+00:00,192.168.56.21,
2026-04-14T10:29:57+00:00,192.168.56.20,
2026-04-14T10:29:57+00:00,192.168.56.21,
2026-04-14T10:30:27+00:00,192.168.56.20,
2026-04-14T10:30:27+00:00,192.168.56.21,
2026-04-14T10:30:57+00:00,192.168.56.20,
2026-04-14T10:30:57+00:00,192.168.56.21,
2026-04-14T10:31:27+00:00,192.168.56.20,
2026-04-14T10:31:27+00:00,192.168.56.21,
2026-04-14T10:31:57+00:00,192.168.56.20,
2026-04-14T10:31:57+00:00,192.168.56.21,
2026-04-14T10:32:27+00:00,192.168.56.20,
2026-04-14T10:32:27+00:00,192.168.56.21,
2026-04-14T10:32:57+00:00,192.168.56.20,
2026-04-14T10:32:57+00:00,192.168.56.21,
2026-04-14T10:33:27+00:00,192.168.56.20,
2026-04-14T10:33:27+00:00,192.168.56.21,
2026-04-14T10:33:57+00:00,192.168.56.20,
2026-04-14T10:33:57+00:00,192.168.56.21,
2026-04-14T10:34:27+00:00,192.168.56.20,
2026-04-14T10:34:27+00:00,192.168.56.21,
2026-04-14T10:34:57+00:00,192.168.56.20,
2026-04-14T10:34:57+00:00,192.168.56.21,
2026-04-14T10:35:27+00:00,192.168.56.20,
2026-04-14T10:35:27+00:00,192.168.56.21,
2026-04-14T10:35:57+00:00,192.168.56.20,
2026-04-14T10:35:57+00:00,192.168.56.21,
2026-04-14T10:36:27+00:00,192.168.56.20,
2026-04-14T10:36:27+00:00,192.168.56.21,
2026-04-14T10:36:57+00:00,192.168.56.20,
2026-04-14T10:36:57+00:00,192.168.56.21,
2026-04-14T10:37:27+00:00,192.168.56.20,
2026-04-14T10:37:27+00:00,192.168.56.21,
2026-04-14T10:37:57+00:00,192.168.56.20,
2026-04-14T10:37:57+00:00,192.168.56.21,
2026-04-14T10:38:27+00:00,192.168.56.20,
2026-04-14T10:38:27+00:00,192.168.56.21,
2026-04-14T10:38:57+00:00,192.168.56.20,
2026-04-14T10:38:57+00:00,192.168.56.21,
2026-04-14T10:39:27+00:00,192.168.56.20,
2026-04-14T10:39:27+00:00,192.168.56.21,
2026-04-14T10:39:57+00:00,192.168.56.20,
2026-04-14T10:39:57+00:00,192.168.56.21,
2026-04-14T10:40:27+00:00,192.168.56.20,
2026-04-14T10:40:27+00:00,192.168.56.21,
2026-04-14T10:40:57+00:00,192.168.56.20,
2026-04-14T10:40:57+00:00,192.168.56.21,
2026-04-14T10:41:27+00:00,192.168.56.20,
2026-04-14T10:41:27+00:00,192.168.56.21,
2026-04-14T10:41:57+00:00,192.168.56.20,
2026-04-14T10:41:57+00:00,192.168.56.21,
2026-04-14T10:42:27+00:00,192.168.56.20,
2026-04-14T10:42:27+00:00,192.168.56.21,
2026-04-14T10:42:57+00:00,192.168.56.20,
2026-04-14T10:42:57+00:00,192.168.56.21,
2026-04-14T10:43:27+00:00,192.168.56.20,
2026-04-14T10:43:27+00:00,192.168.56.21,
2026-04-14T10:43:57+00:00,192.168.56.20,
2026-04-14T10:43:57+00:00,192.168.56.21,
2026-04-14T10:44:27+00:00,192.168.56.20,
2026-04-14T10:44:27+00:00,192.168.56.21,
2026-04-14T10:44:57+00:00,192.168.56.20,
2026-04-14T10:44:57+00:00,192.168.56.21,
2026-04-14T10:45:27+00:00,192.168.56.20,
2026-04-14T10:45:27+00:00,192.168.56.21,
2026-04-14T10:45:57+00:00,192.168.56.20,
2026-04-14T10:45:57+00:00,192.168.56.21,
2026-04-14T10:46:27+00:00,192.168.56.20,
2026-04-14T10:46:27+00:00,192.168.56.21,
2026-04-14T10:46:57+00:00,192.168.56.20,
2026-04-14T10:46:57+00:00,192.168.56.21,
2026-04-14T10:47:03+00:00,192.168.56.20,
2026-04-14T10:47:03+00:00,192.168.56.21,
2026-04-14T10:47:33+00:00,192.168.56.20,
2026-04-14T10:47:33+00:00,192.168.56.21,
2026-04-14T10:48:03+00:00,192.168.56.20,
2026-04-14T10:48:03+00:00,192.168.56.21,
2026-04-14T10:48:33+00:00,192.168.56.20,
2026-04-14T10:48:33+00:00,192.168.56.21,
2026-04-14T10:49:03+00:00,192.168.56.20,
2026-04-14T10:49:03+00:00,192.168.56.21,
2026-04-14T10:49:33+00:00,192.168.56.20,
2026-04-14T10:49:33+00:00,192.168.56.21,
2026-04-14T10:50:03+00:00,192.168.56.20,
2026-04-14T10:50:03+00:00,192.168.56.21,
2026-04-14T10:50:33+00:00,192.168.56.20,
2026-04-14T10:50:33+00:00,192.168.56.21,
2026-04-14T10:51:03+00:00,192.168.56.20,
2026-04-14T10:51:03+00:00,192.168.56.21,
2026-04-14T10:51:33+00:00,192.168.56.20,
2026-04-14T10:51:33+00:00,192.168.56.21,
2026-04-14T10:52:03+00:00,192.168.56.20,
2026-04-14T10:52:03+00:00,192.168.56.21,
2026-04-14T10:52:33+00:00,192.168.56.20,
2026-04-14T10:52:33+00:00,192.168.56.21,
2026-04-14T10:53:03+00:00,192.168.56.20,
2026-04-14T10:53:03+00:00,192.168.56.21,
2026-04-14T10:53:33+00:00,192.168.56.20,
2026-04-14T10:53:33+00:00,192.168.56.21,
2026-04-14T10:54:03+00:00,192.168.56.20,
2026-04-14T10:54:03+00:00,192.168.56.21,
2026-04-14T10:54:33+00:00,192.168.56.20,
2026-04-14T10:54:33+00:00,192.168.56.21,
2026-04-14T10:55:03+00:00,192.168.56.20,
2026-04-14T10:55:03+00:00,192.168.56.21,
2026-04-14T10:55:33+00:00,192.168.56.20,
2026-04-14T10:55:33+00:00,192.168.56.21,
2026-04-14T10:56:03+00:00,192.168.56.20,
2026-04-14T10:56:03+00:00,192.168.56.21,
2026-04-14T10:56:33+00:00,192.168.56.20,
2026-04-14T10:56:33+00:00,192.168.56.21,
2026-04-14T10:57:03+00:00,192.168.56.20,
2026-04-14T10:57:03+00:00,192.168.56.21,
2026-04-14T10:57:33+00:00,192.168.56.20,
2026-04-14T10:57:33+00:00,192.168.56.21,
2026-04-14T10:58:03+00:00,192.168.56.20,
2026-04-14T10:58:03+00:00,192.168.56.21,
2026-04-14T10:58:33+00:00,192.168.56.20,
2026-04-14T10:58:33+00:00,192.168.56.21,
2026-04-14T11:00:14+00:00,192.168.56.20,
2026-04-14T11:00:14+00:00,192.168.56.21,
2026-04-14T11:00:44+00:00,192.168.56.20,
2026-04-14T11:00:44+00:00,192.168.56.21,
2026-04-14T11:01:14+00:00,192.168.56.20,
2026-04-14T11:01:14+00:00,192.168.56.21,
2026-04-14T11:01:44+00:00,192.168.56.20,
2026-04-14T11:01:44+00:00,192.168.56.21,
2026-04-14T11:02:14+00:00,192.168.56.20,
2026-04-14T11:02:14+00:00,192.168.56.21,
2026-04-14T11:02:44+00:00,192.168.56.20,
2026-04-14T11:02:44+00:00,192.168.56.21,
2026-04-14T11:03:14+00:00,192.168.56.20,
2026-04-14T11:03:14+00:00,192.168.56.21,
2026-04-14T11:03:44+00:00,192.168.56.20,
2026-04-14T11:03:44+00:00,192.168.56.21,
2026-04-14T11:04:14+00:00,192.168.56.20,
2026-04-14T11:04:14+00:00,192.168.56.21,
2026-04-14T11:04:44+00:00,192.168.56.20,
2026-04-14T11:04:44+00:00,192.168.56.21,
2026-04-14T11:05:14+00:00,192.168.56.20,
2026-04-14T11:05:14+00:00,192.168.56.21,
2026-04-14T11:05:44+00:00,192.168.56.20,
2026-04-14T11:05:44+00:00,192.168.56.21,
2026-04-14T11:06:14+00:00,192.168.56.20,
2026-04-14T11:06:14+00:00,192.168.56.21,
2026-04-14T11:06:44+00:00,192.168.56.20,
2026-04-14T11:06:44+00:00,192.168.56.21,
2026-04-14T11:07:14+00:00,192.168.56.20,
2026-04-14T11:07:14+00:00,192.168.56.21,
2026-04-14T11:07:44+00:00,192.168.56.20,
